epoch,loss,iou,dice,val_loss,val_iou,val_dice
0,0.6435405136857714,0.29094677092854954,0.37132821172031577,0.6256136076790946,0.32821345419263664,0.3932112624718353
1,0.6042280057498387,0.34811839415634577,0.4196613163460017,0.6004187907491412,0.3448117628357824,0.42344360282962074
2,0.5799045041629246,0.3846158499125392,0.45339203219824087,0.5776446206229073,0.38247750593973384,0.4535130914876476
3,0.5588502338954381,0.4156820678919379,0.48509506735301167,0.5477988839149475,0.4407743959289415,0.503455066875796
4,0.5376349810191563,0.439965987190846,0.5156123119778945,0.523378608907972,0.47864536405948055,0.5424790341163291
5,0.5175774320534298,0.4668227160044387,0.5475107776608774,0.5055745499474662,0.49317431132610046,0.5695591346845811
6,0.49923810584204537,0.49622313827742476,0.5823860045583963,0.4888652001108442,0.5249104582130603,0.5987740742570654
7,0.47668966565813337,0.5282652490600012,0.62016494417827,0.4699392897742135,0.5512967638437576,0.6322787192604217
8,0.4623150997502463,0.5466759037178067,0.6453122922991643,0.4551870720727103,0.5521040480512593,0.6519328366348881
9,0.44519220658711023,0.5685100674610206,0.6719733575930528,0.4346350005694798,0.5923199317893467,0.6941908873420668
