epoch,loss,iou,dice,accuracy,val_loss,val_iou,val_dice,val_accuracy
0,0.6788938687642415,0.20234690790762377,0.33473140739073365,0.5487982126871744,0.643269157409668,0.2337827237431628,0.3773900700393491,0.6098676045735677
1,0.6384879933993022,0.23618500917292606,0.3805905553411258,0.6161834259033203,0.6118725466728211,0.2599734587440738,0.4109135365544441,0.6576741027832032
2,0.6082794416745504,0.2633387846935276,0.4150218433961167,0.6623475189208985,0.5856824437777202,0.2792628766396325,0.4348312162374748,0.7018364461263021
3,0.5779319814046224,0.29293452826066896,0.45133137513496074,0.7070051727294921,0.5507352924346924,0.31799730726639985,0.4799035480810328,0.6877885437011719
4,0.5500489443143208,0.323613943823064,0.48667634247244207,0.7454592997233073,0.5169385051727295,0.36299891113381033,0.5303290736207824,0.7806819661458333
5,0.5202094853719076,0.35939835226134165,0.5264796524924814,0.7850406748453777,0.4939086445172628,0.3955688886661107,0.5644410321050015,0.8164026896158855
6,0.49136579195658364,0.3969824938783902,0.5661467068213301,0.8204230499267579,0.4805107227961222,0.4033076630318865,0.572092116145817,0.8446315511067708
7,0.46737238534291586,0.43167028867558943,0.6004425984941655,0.8536430969238281,0.43041407903035483,0.49765134152493024,0.6625054454798336,0.9014390055338541
8,0.44063171243667604,0.4727100330751557,0.6395127618249767,0.8867498270670573,0.41958916107813515,0.5017400262319882,0.665124657956539,0.8770284525553386
9,0.41878314018249513,0.5094595431420522,0.6726633328745641,0.8957980448404947,0.38897597829500835,0.5524004617449932,0.7097402112576796,0.9059666951497396
10,0.39824969506263735,0.5452227985646441,0.7032099279662432,0.904088134765625,0.3785552024841309,0.5799911979531909,0.7318763247337366,0.9132676696777344
11,0.3793926814397176,0.5773486479870835,0.7300214290587989,0.911091807047526,0.36693818926811217,0.5866619204105454,0.7371497578569459,0.9014284769694011
12,0.36188824248313906,0.6085278561369709,0.7543442125346821,0.9170203196207682,0.36019831856091816,0.605826485834548,0.7518207378322234,0.9192503356933593
13,0.3493473429679871,0.6322751351944855,0.7726044397725467,0.921729517618815,0.3364391982555389,0.6656928698490945,0.7977640209266244,0.9302481079101562
14,0.3357179752985636,0.6609465494148303,0.7939352172301847,0.9275392303466797,0.34162818908691406,0.622897170717293,0.7649324776196347,0.9005976359049479
15,0.327599770228068,0.6756181653484531,0.8048001311663796,0.9299197896321615,0.3191263063748678,0.690470581105576,0.8152802714834348,0.9311972045898438
16,0.31872404885292055,0.6891794079270487,0.814368446592637,0.9320406951904296,0.30655222018559775,0.7047005410490853,0.8248633478929542,0.9291808064778646
17,0.30995415218671163,0.7031771794607369,0.8242844245213818,0.9342876536051432,0.3086240744590759,0.7009348554381183,0.8219748735459588,0.9339197794596354
18,0.3005406610965729,0.7244202050541562,0.8384141803434366,0.9383276723225912,0.28207940379778546,0.7543816935093165,0.8586263420202571,0.9432492065429687
19,0.2951952011187871,0.7346676206492858,0.8457615195324378,0.9401515350341797,0.2755577333768209,0.7679467539234737,0.8673680623345876,0.9460517374674479
20,0.28699046103159587,0.7514523071780811,0.8569988752115335,0.9431680755615235,0.2773198370138804,0.7708005839853905,0.8693258252738868,0.9446292622884115
21,0.2831561983426412,0.7534773238724796,0.8581748541050809,0.9430052490234375,0.2656279754638672,0.7837979740802133,0.8776619840261507,0.9473706563313802
22,0.2822400529384613,0.7573264283779694,0.860461050927874,0.9437703755696615,0.324034126996994,0.6614532799084842,0.7940871560809393,0.9284523518880209
23,0.2745504211584727,0.772619333736803,0.8705543493818565,0.9466275329589844,0.2666722377141317,0.7827406164631012,0.8766315638544305,0.9459254455566406
24,0.2710155426661173,0.7765876390755945,0.8729189568224995,0.9468802642822266,0.25619948387145997,0.8097610494311411,0.8942353567038723,0.9515329996744791
25,0.266513414700826,0.7882515144271999,0.8803242945830446,0.9495230712890625,0.25554773489634197,0.8019401752629055,0.8890788615595934,0.9505294799804688
26,0.2603054528236389,0.7983478743093142,0.886774190475098,0.9508280944824219,0.2487556258837382,0.8267139361834974,0.9043727271606864,0.9548348999023437
27,0.25657201544443764,0.8097916556879692,0.8940013788152885,0.9528641153971354,0.2541127912203471,0.8203837305953812,0.9007317554996327,0.9535609436035156
28,0.2520205012957255,0.8171752643350663,0.8986097776079853,0.9542311604817708,0.23936731219291688,0.8286045374362837,0.9056673312183032,0.9535497538248698
29,0.25202413566907245,0.8154850380435075,0.8975559870382851,0.9537306976318359,0.24486923774083455,0.8363202868296515,0.9101734206978725,0.9558917744954427
30,0.24499205946922303,0.8296905614447497,0.906200738276388,0.9565463155110677,0.2583795670668284,0.7998133291042444,0.8876369756029758,0.9473655192057292
31,0.24520454494158428,0.8270417556699475,0.904454199254281,0.9560224660237631,0.22707262714703877,0.8535896818738937,0.9200713561354092,0.9599556986490886
32,0.24306740713119507,0.836612940107766,0.9104189113984645,0.9576340891520182,0.22858272969722748,0.8436369248885807,0.9143690221365398,0.9581932067871094
33,0.2393266134262085,0.847044571853436,0.9166510356577469,0.9595084228515625,0.23155715564886728,0.863952891371199,0.9265362782986495,0.9611886596679687
34,0.2394456884066264,0.8399765364680887,0.9122282457321749,0.9580801798502604,0.22200385669867198,0.8671623995629244,0.9283196957145899,0.9619907124837239
35,0.2374516999721527,0.8430022775322513,0.9140733517199854,0.9584450429280599,0.2252882393201192,0.8695290417745855,0.9296842657503981,0.962108408610026
36,0.23092238954703012,0.8593480017608441,0.9238456373323388,0.9614488830566407,0.2239289875825246,0.8725303974376645,0.9315026734207379,0.9623359171549479
37,0.2308113208611806,0.8616670280189688,0.9252506450731536,0.9616643829345703,0.21419449051221212,0.8800264063433,0.9357569757825093,0.9635137430826823
38,0.22673367695013683,0.8677297809845208,0.9288014282031671,0.9626020151774088,0.22298529942830403,0.8762781054439218,0.933631397848543,0.9629767354329427
39,0.22541914224624635,0.8692149416398347,0.9296637220681019,0.9630567881266276,0.21736517945925396,0.8856679469290045,0.9390687116033815,0.9650785827636719
40,0.2216435843706131,0.875911037999985,0.9334479192476082,0.9641753234863282,0.2086680668592453,0.8949860269378233,0.9443143336616828,0.9665338643391927
41,0.22514852114518483,0.8705550656847098,0.9303517421156878,0.9633056640625,0.20705136100451152,0.8907602541792585,0.9419686201984191,0.9655843098958333
42,0.21885153118769327,0.8841586760893129,0.9382332965191499,0.9654725189208985,0.2111986005306244,0.9004739942228491,0.9473622397582636,0.9676981608072917
43,0.22139226086934408,0.8707411252497342,0.9305146322613764,0.9630137227376302,0.21057079911231993,0.8879572445081817,0.9403656685620548,0.9651880391438802
44,0.2172649164199829,0.8848333500525418,0.9385800836380049,0.9655358734130859,0.20398273507754008,0.9065105601457569,0.9506882312199832,0.96827392578125
45,0.21092334191004436,0.8977424419421403,0.9458677073230883,0.9678096313476563,0.20336255331834158,0.9102931912481108,0.9528392590345309,0.9692793273925782
46,0.213546932498614,0.8905659165951917,0.9417836722376723,0.9664176991780599,0.20078357497851054,0.9112505613680384,0.9533728181913851,0.9694249979654948
47,0.21356490854422253,0.8928378634324612,0.9430920867880364,0.9670241190592448,0.19538614233334858,0.9175293638239257,0.956826212770422,0.9702713521321614
48,0.21103487865130108,0.8956618024090252,0.9447267099369719,0.9671044158935547,0.20179355800151824,0.9200574287931511,0.9582031821886102,0.9706697082519531
49,0.20785547292232515,0.9042694145571568,0.9495167447769464,0.9688400522867838,0.20153838892777762,0.914888406584155,0.9554072356763743,0.9699393208821615
50,0.2072527864376704,0.905849362500286,0.9503926663751674,0.9690189056396484,0.19180504977703094,0.9204798868963657,0.9584142356333585,0.9707212829589844
51,0.2075549184481303,0.899401338164571,0.9467571120554604,0.9677972106933593,0.20104819218317668,0.9079760577003284,0.9515553292782877,0.9690350341796875
