epoch,loss,iou,dice,accuracy,val_loss,val_iou,val_dice,val_accuracy
0,0.6334038645880563,0.2273527866942336,0.3665961276130583,0.6363285827636719,0.622361405690511,0.23527496703570897,0.37763857560223907,0.5925881703694661
1,0.5855932205063956,0.26456470245153446,0.4144067701121636,0.6640116446358817,0.5845962484677633,0.26490738552171755,0.415403765500384,0.7072765350341796
2,0.5649274247033256,0.2808003345102024,0.4350725804985642,0.6882584926060268,0.5777256846427917,0.27044117049018823,0.42227432220356576,0.7053825378417968
3,0.5517144812856402,0.2926325837206849,0.4482855146204976,0.7035184805733817,0.5936858852704366,0.2576672790398012,0.4063141245602863,0.5940864562988282
4,0.5347765949794224,0.3073819623562654,0.46522340614453916,0.7230115400041852,0.565584921836853,0.27989719402400176,0.43441507116914385,0.6834228515625
5,0.5161549615859985,0.3230518277346024,0.48384502826315967,0.742943834577288,0.5328986326853434,0.30727793921510804,0.46710138321243033,0.750002924601237
6,0.49375357116971696,0.3435058167438474,0.5062464207955878,0.767180895124163,0.5091424067815145,0.32771304938920653,0.49085760236760173,0.7948460896809896
7,0.47514561448778425,0.3603833971968216,0.5248544053584522,0.7892148045131139,0.5346916635831197,0.30678291131870306,0.4653083572094761,0.713482666015625
8,0.45903890677860804,0.3756962641148922,0.5409610823297462,0.8004056658063616,0.5106467763582866,0.3269851088156841,0.48935323249640594,0.7400891621907552
9,0.43741101299013413,0.39654509132052973,0.5625889893650083,0.822603759765625,0.46551903486251833,0.3682329638079676,0.5344809411955319,0.8090905507405599
10,0.40731056588036674,0.42556694412635715,0.592689452747513,0.8450609043666295,0.44720208247502646,0.38456718533176387,0.5527979107841783,0.8378826141357422
11,0.3932953769820077,0.4418559796777157,0.6067046239487401,0.8568153163364955,0.4368467728296916,0.3951340858513904,0.5631532233544901,0.8346942901611328
12,0.3731040808132717,0.4610339408029621,0.6268959277729954,0.8689690508161272,0.4191676179567973,0.413689767437339,0.5808323581366301,0.887677256266276
13,0.3504602657045637,0.4852900494433728,0.6495397465714136,0.9043316650390625,0.4188967982927958,0.4124430606563888,0.5811032057614691,0.8718865712483724
14,0.3359636994770595,0.5022987244682803,0.6640363010121457,0.9143003627232142,0.4033178806304932,0.4291677042304374,0.5966821129769909,0.8905835469563802
15,0.3090676859446934,0.5340676213977557,0.6909323271714347,0.9246764264787947,0.3975248138109843,0.4345883565104946,0.6024752162243099,0.878726069132487
16,0.28429841688701085,0.5631704389399131,0.7157015967351267,0.9309891401018415,0.3488499204317729,0.4858418322242797,0.651150138523781,0.9077519734700521
17,0.27131581136158534,0.5805320685647537,0.7286841968514872,0.9333157130650112,0.3501229921976725,0.487468808998976,0.6498770446404734,0.9073580423990886
18,0.2490086463519505,0.6069005737231906,0.7509913377330968,0.9364314488002232,0.3318753600120544,0.5067115774347021,0.6681246365210437,0.9123485565185547
19,0.24143244130270822,0.617852919355552,0.7585675659525994,0.9369013977050781,0.343607763449351,0.49438531668146307,0.6563922655505069,0.8939417521158854
20,0.21322251353945051,0.653828888152992,0.7867775017738436,0.9434110369001116,0.33209062019983926,0.5079585924205715,0.6679094138157874,0.9138345082600912
21,0.18507686614990235,0.6917626943158228,0.8149231273674256,0.9497860717773438,0.3398243029912313,0.5040606499384718,0.6601756852961526,0.914929453531901
22,0.1850100006375994,0.6922319424570561,0.8149899924213586,0.9467769077845982,0.3658619999885559,0.47365492161423217,0.6341380059607483,0.9084824879964193
23,0.1600546019417899,0.7278110144308545,0.8399454143680526,0.9528722054617745,0.3060441295305888,0.5366224285977917,0.6939559082809967,0.9035503387451171
24,0.16499468939644948,0.7202026758789819,0.8350053076103938,0.9493552507672991,0.29076953331629435,0.5542076567443323,0.7092304311671709,0.9142688751220703
25,0.14681887831006732,0.7483705720571286,0.8531811427879198,0.9545155770438059,0.31889909903208413,0.5244131848612827,0.6811008890976993,0.9130500793457031
26,0.1491412421635219,0.7435833054397123,0.8508587605058732,0.9519557843889509,0.3202854752540588,0.5255512708690909,0.6797145269111166,0.9136508941650391
27,0.1324246757371085,0.7690047625994886,0.8675752978946212,0.9560593741280692,0.33796006043752036,0.49953079895060454,0.662039956835709,0.8705219268798828
28,0.12527958052498953,0.7802175902599147,0.8747204349950534,0.957585209437779,0.2601754347483317,0.5912572687897304,0.7398245953409516,0.9160558064778646
29,0.10713268109730312,0.8078531392416771,0.892867314434208,0.9618905203683036,0.27441619237264,0.5748357715947152,0.7255838298699585,0.9082387288411459
30,0.10093160288674491,0.8181375873657222,0.8990684109577793,0.9634459141322544,0.27063583930333457,0.5813083077406954,0.7293642159847658,0.9171853383382161
31,0.10644448723111834,0.8109350248514664,0.8935554973644352,0.961438707624163,0.2584318518638611,0.5975549770135794,0.7415681359350187,0.9165551503499348
32,0.08763300146375384,0.8401800239387812,0.9123669940102512,0.9665225655691965,0.24666565259297688,0.6131446977426408,0.7533343923952479,0.9201133728027344
33,0.09425129583903721,0.8302721483061771,0.9057486877167571,0.9641203308105468,0.317470653851827,0.529489534549283,0.6825293684139114,0.9121833801269531
34,0.08134447847093855,0.8506757619660184,0.9186555156382556,0.9669562857491629,0.27093672355016074,0.5832191031595081,0.7290632718461834,0.9216875712076823
35,0.07620997497013637,0.8598001622272197,0.9237900139595029,0.9684949820382255,0.2509169499079386,0.6096586485119262,0.7490830548062243,0.920962397257487
36,0.08558759825570243,0.8436250721284442,0.9144123838434016,0.9647716631208147,0.2519722859064738,0.6040738441683141,0.748027685380626,0.9114050547281901
37,0.07144627230507987,0.8674415631830981,0.9285537271467493,0.9683147321428571,0.23921395540237428,0.6237612201944471,0.7607860345970691,0.9255729675292969
38,0.06760597058704922,0.8742412550076168,0.9323940377778047,0.9694393920898438,0.24959712028503417,0.6115202739284613,0.7504028911464818,0.9231798807779948
39,0.060196895939963205,0.8871318523012227,0.9398031140893841,0.9709705243791853,0.24938981533050536,0.6109580334828728,0.7506102295229744,0.9246959686279297
