epoch,loss,iou,dice,accuracy,val_loss,val_iou,val_dice,val_accuracy
0,0.5917251439094543,0.26052668273524215,0.40827485692537224,0.6572416251046317,0.552275554339091,0.291073901709524,0.4477244574654515,0.7405030568440755
1,0.5158460459027971,0.3232078508400824,0.48415395682026907,0.7424008222307478,0.48049543301264447,0.35312509384121504,0.5195045835862825,0.829974873860677
2,0.4467148323740278,0.38773258061188504,0.5532851668908457,0.8217046901157924,0.4303533315658569,0.4029272910356543,0.5696466787377049,0.8601427714029948
3,0.3670574533598764,0.4686276364688917,0.6329425428317809,0.8911279645647321,0.44391510883967084,0.39327029539686087,0.5560848974678644,0.8957247416178385
4,0.304315231187003,0.5391716174287337,0.695684770733095,0.906945059640067,0.26948049863179524,0.5808110966767662,0.7305195375523541,0.921380615234375
5,0.25795778608322145,0.5956836634862375,0.7420422196729668,0.9172730756487165,0.2504549026489258,0.6062906021031064,0.7495450769432874,0.923712158203125
6,0.22448815291268484,0.6391384745764948,0.7755118400142914,0.9236536080496652,0.22096566359202066,0.6426637589817777,0.7790343769552279,0.9248065948486328
7,0.20173383099692208,0.6702246456930527,0.7982661605813881,0.9283177228655134,0.22031357288360595,0.6431520936683737,0.779686393933559,0.9267450968424479
8,0.17871729012898036,0.7018615911720295,0.8212826978525679,0.9339681832449777,0.18884336948394775,0.6860513007068744,0.8111567110280159,0.9352291107177735
9,0.16935298688071115,0.7158074949415341,0.8306470041831882,0.9359154881068639,0.1939624309539795,0.6810751252178632,0.8060375315646777,0.9302750905354817
10,0.1518755075590951,0.741346835118798,0.8481244871130443,0.9407430550711495,0.20192205905914307,0.667499203750635,0.7980779151952947,0.930142339070638
11,0.1387902307510376,0.7605956919840917,0.8612097742809414,0.9438342982700892,0.1868630329767863,0.6917989209950688,0.8131369850825106,0.9353612263997396
12,0.13194414152417863,0.7705184115654168,0.8680558555864061,0.9458152073451451,0.1906224012374878,0.6851714735203968,0.8093775838062668,0.9344005584716797
13,0.11861916126523699,0.7917530460452519,0.8813808422473034,0.9495171290806361,0.1758362094561259,0.7047176806483104,0.8241637909115959,0.9344614664713542
14,0.1092024096761431,0.8063974347061145,0.8907975914655035,0.9520753958565848,0.1787653883298238,0.7004584632353316,0.8212346488305848,0.9347977956136068
15,0.11094588920048305,0.8035227709548665,0.8890541189523953,0.9515983101981027,0.17842315435409545,0.7010008713556212,0.8215768331755668,0.9366212209065755
16,0.1014496909550258,0.8192465484824077,0.8985503144028577,0.9541526838030134,0.16169325510660806,0.7238073045150235,0.8383067562592081,0.9411378224690755
17,0.08778412709917341,0.8411957082601571,0.9122158738694462,0.9580035574776786,0.17177737553914388,0.710703443370411,0.8282226379787548,0.938134511311849
18,0.08566485112054008,0.8445245368350189,0.9143351469829885,0.9585347159249442,0.17847886085510253,0.7018407663432578,0.8215211829617944,0.9356268564860026
19,0.08845178283963885,0.840665537784722,0.9115482173513293,0.9578054809570312,0.18811345100402832,0.6891131296782033,0.8118865472462033,0.934329096476237
20,0.07908601903915405,0.8556413089264369,0.9209139810475188,0.9606075308663504,0.17229594389597574,0.7096995468212344,0.8277040906874787,0.9372811635335286
21,0.0801352105140686,0.8539766281808895,0.9198647865628472,0.9598573390415737,0.1926321585973104,0.6819295431136008,0.8073678444802493,0.9346720377604166
22,0.08001788963590349,0.8543376395353455,0.9199821036524924,0.9603799656459263,0.17344227234522502,0.7072532913891412,0.8265577140442494,0.9377194722493489
23,0.0658768663406372,0.8780420221185637,0.9341231385729885,0.9644728567940848,0.1562199076016744,0.7326843400823377,0.8437801135230099,0.9419387817382813
24,0.05850655228751046,0.8907694794391251,0.9414934509633559,0.9663096618652344,0.15814583698908488,0.730142519375727,0.8418541881939465,0.9413333892822265
25,0.05666903918130057,0.8940945211662443,0.9433309683747763,0.9671257978166853,0.15824137131373087,0.7293594908220883,0.8417586575067266,0.9412637074788411
26,0.05525926004137312,0.8965326784055558,0.9447407457264257,0.9675032741001675,0.1565585692723592,0.7319321452082673,0.8434414714396268,0.9416769663492839
27,0.053941659450531004,0.8991022653163874,0.9460583446059697,0.9681324288504465,0.1488418181737264,0.7430911960557464,0.8511581717045172,0.9432945251464844
28,0.051271415982927594,0.9036411359484768,0.948728585025393,0.9686734444754465,0.15807307958602906,0.7297133325903876,0.8419269680788777,0.9411811828613281
29,0.05006716414860317,0.9057242394769489,0.9499328441064833,0.9688631896972656,0.15588494141896567,0.7326303058164635,0.8441151039915916,0.9416258494059245
30,0.04906364004952567,0.907388601310154,0.9509363560249092,0.9691711207798549,0.15892932017644246,0.7277068834986736,0.8410707286324194,0.9413049062093098
31,0.047516375746045794,0.9100808394934343,0.9524836305637746,0.9695573425292969,0.15620412429173788,0.7320317139192591,0.8437959285676662,0.9413817087809245
32,0.047306553568158834,0.9107335122737452,0.9526934413277727,0.969880362374442,0.1506237824757894,0.7400088183214293,0.8493762746491655,0.9423646291097005
33,0.04551865891047886,0.9138209050084565,0.9544813388405753,0.9701470729282924,0.15542580684026083,0.7323853437641347,0.8445742015497276,0.9415314992268881
34,0.044101717131478445,0.9162719947049912,0.9558982842937325,0.9705243966238839,0.15989847580591837,0.7261490216820065,0.8401015457635208,0.940639877319336
35,0.0446900999886649,0.9154546385333003,0.9553099066490972,0.9706360473632812,0.1592628002166748,0.7270339211475318,0.8407371959604439,0.9410818735758464
36,0.04397953122002738,0.9166167749323342,0.9560204690972183,0.9707052917480469,0.1545046289761861,0.7338952838868,0.8454953796664874,0.9417306264241536
37,0.04372538232803345,0.9170298142248452,0.9562746157683133,0.9707145560128349,0.15788971583048503,0.7289409929839684,0.8421103059327375,0.9411059061686198
